Redshift (z),Red filter (r)
1.639066,21.45185
1.884865,21.64866
0.3341047,21.50607
1.831492,22.07436
2.448736,21.47713
1.48097,22.57673
1.507235,21.66146
1.817387,20.34395
1.048869,21.53491
3.562734,21.77449
1.317644,21.50969
1.3844,21.93245
1.756006,22.81398
2.845513,17.99723
0.5678104,18.46759
0.6900575,19.48028
3.170163,20.93838
1.263139,19.77845
1.647635,19.64318
1.637843,20.31091
1.86253,21.09981
1.914028,21.11497
1.472195,21.28543
1.916742,20.62528
0.1772211,20.38062
1.588789,20.82913
2.542587,19.76316
0.8173341,21.42999
2.060472,21.70602
1.366203,20.56859
1.299324,21.84233
1.615781,20.43107
1.143815,19.77477
0.1795564,20.39145
0.6087182,22.16144
1.46744,21.42825
2.018088,20.59219
2.282191,18.22763
1.500157,18.89682
2.080312,21.08645
1.328627,21.62518
1.815644,22.00144
1.039139,20.33619
1.054806,21.97083
1.175492,21.52155
0.7862628,22.70286
1.457355,20.84296
0.6328347,21.90553
1.632401,20.20559
0.3565998,21.9104
2.108447,20.65233
0.9622413,21.28143
1.100341,21.82263
1.987891,22.35246
1.163877,20.7732
0.6499667,22.56346
1.126289,22.76526
2.122299,21.02318
1.856655,20.13983
1.335513,21.87595
1.28548,20.69353
1.601781,21.20374
0.5124569,19.54239
1.994488,20.6393
1.255864,21.53727
0.1976634,21.93364
2.197299,20.92874
1.765502,18.98815
1.915218,20.5111
2.34694,20.26291
0.2485424,22.47237
1.037834,21.25848
2.143476,18.29486
2.457638,21.35985
1.820376,21.19637
1.884352,21.53775
1.541714,21.00302
0.4245241,20.48827
1.992606,21.50236
1.237962,18.89091
1.671554,21.61367
1.292296,21.05644
1.440927,22.01691
1.521912,20.10144
1.910787,19.4648
2.115862,21.76605
2.42998,21.74547
1.318592,19.92419
0.8288257,21.6757
2.35758,18.97971
1.44843,19.3152
2.063706,22.5012
1.275925,19.86015
1.506617,21.54064
2.401622,21.93463
0.7335992,20.97164
0.9079505,20.27061
1.698815,19.69427
1.620542,20.15437
1.981747,20.94901
1.616294,22.40835
2.174665,22.09555
1.569798,20.87519
0.8060992,21.30978
2.06219,20.63997
1.801079,19.52863
1.081828,21.70342
1.676594,22.07558
0.6350104,22.0957
2.943608,21.27665
2.157048,21.20209
1.014423,21.9341
1.234138,21.31842
1.253114,22.29527
2.139161,21.35818
0.9700913,21.60105
2.021016,21.98649
1.476094,19.74773
1.318701,20.7859
1.295901,21.47881
2.077958,22.27908
2.121276,19.84801
1.679562,20.67422
0.7905902,20.14497
1.25624,20.07361
1.01158,21.97319
1.705526,20.72116
1.142324,19.73058
0.7897958,21.2906
2.597171,20.42732
2.088146,21.55363
1.735696,21.60017
1.717431,22.20662
1.296437,20.32269
0.6015939,19.974
2.002585,20.84236
2.034524,20.8606
2.88847,20.40298
3.116174,20.59111
2.103147,20.17751
2.085704,21.64268
2.575081,21.14345
2.550317,22.27237
2.523519,22.16315
1.54335,18.63376
1.613405,20.62705
1.531789,21.62464
2.166584,21.03029
3.038829,21.01544
2.832298,21.48841
1.786567,22.25406
1.877693,21.10624
1.548068,21.5494
2.072604,21.38899
2.074798,21.18192
1.048621,19.26255
1.054228,19.5511
2.074683,21.82109
3.142837,21.68232
2.085076,21.83313
1.323918,21.62199
1.776982,18.1874
1.73535,19.83557
1.059933,19.5718
2.221895,21.60005
0.9616654,18.49184
2.24228,19.13503
0.9664031,20.02235
1.829151,21.32601
2.298598,20.61119
1.369751,21.80714
2.671872,21.63472
1.484288,22.78214
2.841904,21.10997
1.111361,21.22185
0.9429981,21.88183
0.3087833,19.93078
2.173992,20.94488
0.4313712,20.36077
2.793218,22.49465
1.091892,21.66248
1.653451,20.62669
2.06062,20.67027
1.343443,21.08598
